data_year,weapon_id,offense_id,nibrs_weapon_id
2024,41,235340270,
2024,41,235340328,
2024,41,235340417,
2024,21,235340378,
2024,42,235340405,
2024,41,235340300,
2024,41,235340444,
2024,41,241816730,
2024,42,235340344,
2024,41,235340396,
2024,38,235340426,
2024,41,235340468,
2024,41,235340368,
2024,42,235340424,
2024,41,235340498,
2024,42,235340423,
2024,41,235340522,
2024,41,235340459,
2024,41,235340546,
2024,42,235340544,
2024,21,235340592,
2024,41,224081730,
2024,41,235340625,
2024,41,224085702,
2024,41,235340605,
2024,38,235340630,
2024,41,224085760,
2024,41,224081753,
2024,41,235340663,
2024,41,235340692,
2024,38,235340724,
2024,41,235340689,
2024,41,235340671,
2024,41,235340839,
2024,38,235340728,
2024,41,235340873,
2024,38,235340914,
2024,41,235340753,
2024,41,235340821,
2024,41,235340833,
2024,41,235340951,
2024,41,235340869,
2024,41,235340977,
2024,41,235340964,
2024,41,235340952,
2024,42,235341065,
2024,41,235341109,
2024,42,235340959,
2024,5,235341068,
2024,41,235341204,
2024,41,235341259,
2024,41,235341147,
2024,41,235341185,
2024,41,235341148,
2024,41,235341336,
2024,41,235341276,
2024,41,235341349,
2024,1,235341388,
2024,41,235341257,
2024,41,235342696,
2024,41,235341305,
2024,1,235341389,
2024,41,235341462,
2024,41,235341367,
2024,41,235341540,
2024,38,235341505,
2024,42,235341405,
2024,41,235341507,
2024,41,235341535,
2024,42,235341618,
2024,42,235341545,
2024,42,235341529,
2024,42,235341608,
2024,41,235341659,
2024,41,235341573,
2024,42,235341582,
2024,41,235341790,
2024,41,235341635,
2024,38,235341698,
2024,41,235341771,
2024,41,235341791,
2024,42,235341772,
2024,42,235341800,
2024,42,235341806,
2024,42,235341758,
2024,42,235341793,
2024,41,235341904,
2024,41,235341921,
2024,42,235341902,
2024,42,235341933,
2024,38,235341977,
2024,42,235341876,
2024,41,235341919,
2024,1,235341970,
2024,42,235341972,
2024,42,235341998,
2024,41,235342190,
2024,41,235342015,
2024,21,235342101,
2024,42,235342138,
2024,42,235342113,
2024,41,235342223,
2024,42,235342204,
2024,41,235342366,
2024,41,235342267,
2024,42,235342251,
2024,21,235342285,
2024,41,235342316,
2024,42,235342315,
2024,41,235342380,
2024,38,235342412,
2024,42,235342440,
2024,41,235342400,
2024,1,235342342,
2024,41,235342543,
2024,41,235342632,
2024,38,235342673,
2024,41,235342576,
2024,41,235342690,
2024,41,235342409,
2024,41,235342443,
2024,38,235342472,
2024,42,235342510,
2024,41,235342598,
2024,42,235342610,
2024,41,235342685,
2024,41,235342776,
2024,41,235342777,
2024,42,235342655,
2024,42,235342684,
2024,41,235342816,
2024,41,235342896,
2024,42,235342870,
2024,42,235343064,
2024,7,235343022,
2024,42,235343123,
2024,42,235343138,
2024,38,235342984,
2024,42,235343071,
2024,42,235343120,
2024,41,235343294,
2024,41,235343342,
2024,13,235343168,
2024,42,235343375,
2024,41,235343333,
2024,1,235343373,
2024,1,235343374,
2024,41,235343402,
2024,41,235343428,
2024,38,235343488,
2024,41,235343326,
2024,41,235343387,
2024,41,235343475,
2024,41,235343558,
2024,41,235343399,
2024,41,235343502,
2024,41,235343539,
2024,41,235343635,
2024,41,235343583,
2024,5,235343665,
2024,41,235343561,
2024,41,235343514,
